# number of rays:      31
# iteration   EID   ray    X              A              Y              B              T              D
         1     5     26 -0.3441762E-08 -0.5076625E-08  0.1396290E-03 -0.3940067E-03 -0.6754749E-07  0.0000000E+00
         1     5     27  0.1941195E-05  0.2863403E-05  0.0000000E+00  0.0000000E+00  0.2724272E-04  0.7777778E-04
         1     5     28  0.1878140E-02  0.5416607E-03  0.0000000E+00  0.0000000E+00 -0.5575271E-04  0.0000000E+00
         1     5     29 -0.5689443E-08 -0.8391972E-08  0.1795230E-03 -0.5065800E-03 -0.1116601E-06  0.0000000E+00
         1     5     30  0.2495782E-05  0.3681505E-05  0.0000000E+00  0.0000000E+00  0.3502570E-04  0.1000000E-03

         1     6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     6      1 -0.2509822E-02 -0.5336866E-03  0.0000000E+00  0.0000000E+00  0.1362561E-03  0.0000000E+00
         1     6      2 -0.2045931E-07 -0.1674524E-07  0.4155667E-03  0.5065800E-03 -0.1960553E-06  0.0000000E+00
         1     6      3 -0.8976178E-05 -0.7346282E-05  0.0000000E+00  0.0000000E+00 -0.5727871E-04 -0.1000000E-03
         1     6      4 -0.1952102E-02 -0.4150862E-03  0.0000000E+00  0.0000000E+00  0.1060163E-03  0.0000000E+00
         1     6      5 -0.1237662E-07 -0.1012984E-07  0.3232185E-03  0.3940067E-03 -0.1186014E-06  0.0000000E+00
         1     6      6 -0.6981358E-05 -0.5713753E-05  0.0000000E+00  0.0000000E+00 -0.4454927E-04 -0.7777778E-04
         1     6      7 -0.1394372E-02 -0.2964877E-03  0.0000000E+00  0.0000000E+00  0.7575407E-04  0.0000000E+00
         1     6      8 -0.6314602E-08 -0.5168285E-08  0.2308703E-03  0.2814333E-03 -0.6051090E-07  0.0000000E+00
         1     6      9 -0.4986604E-05 -0.4081237E-05  0.0000000E+00  0.0000000E+00 -0.3182031E-04 -0.5555556E-04
         1     6     10 -0.8366309E-03 -0.1778912E-03  0.0000000E+00  0.0000000E+00  0.4546932E-04  0.0000000E+00
         1     6     11 -0.2273257E-08 -0.1860583E-08  0.1385222E-03  0.1688600E-03 -0.2178393E-07  0.0000000E+00
         1     6     12 -0.2991914E-05 -0.2448733E-05  0.0000000E+00  0.0000000E+00 -0.1909183E-04 -0.3333333E-04
         1     6     13 -0.2788796E-03 -0.5929658E-04  0.0000000E+00  0.0000000E+00  0.1516206E-04  0.0000000E+00
         1     6     14 -0.2525841E-09 -0.2067314E-09  0.4617406E-04  0.5628666E-04 -0.2420436E-08  0.0000000E+00
         1     6     15 -0.9972883E-06 -0.8162412E-06  0.0000000E+00  0.0000000E+00 -0.6363823E-05 -0.1111111E-04
         1     6     16  0.2788823E-03  0.5929610E-04  0.0000000E+00  0.0000000E+00 -0.1516769E-04  0.0000000E+00
         1     6     17 -0.2525841E-09 -0.2067314E-09 -0.4617406E-04 -0.5628666E-04 -0.2420436E-08  0.0000000E+00
         1     6     18  0.9972722E-06  0.8162381E-06  0.0000000E+00  0.0000000E+00  0.6363703E-05  0.1111111E-04
         1     6     19  0.8366547E-03  0.1778869E-03  0.0000000E+00  0.0000000E+00 -0.4551994E-04  0.0000000E+00
         1     6     20 -0.2273257E-08 -0.1860583E-08 -0.1385222E-03 -0.1688600E-03 -0.2178393E-07  0.0000000E+00
         1     6     21  0.2991768E-05  0.2448705E-05  0.0000000E+00  0.0000000E+00  0.1909075E-04  0.3333333E-04
         1     6     22  0.1394438E-02  0.2964757E-03  0.0000000E+00  0.0000000E+00 -0.7589470E-04  0.0000000E+00
         1     6     23 -0.6314602E-08 -0.5168285E-08 -0.2308703E-03 -0.2814333E-03 -0.6051090E-07  0.0000000E+00
         1     6     24  0.4986199E-05  0.4081160E-05  0.0000000E+00  0.0000000E+00  0.3181732E-04  0.5555556E-04
         1     6     25  0.1952232E-02  0.4150626E-03  0.0000000E+00  0.0000000E+00 -0.1062920E-03  0.0000000E+00
         1     6     26 -0.1237662E-07 -0.1012984E-07 -0.3232185E-03 -0.3940067E-03 -0.1186014E-06  0.0000000E+00
         1     6     27  0.6980565E-05  0.5713602E-05  0.0000000E+00  0.0000000E+00  0.4454341E-04  0.7777778E-04
         1     6     28  0.2510036E-02  0.5336475E-03  0.0000000E+00  0.0000000E+00 -0.1367117E-03  0.0000000E+00
         1     6     29 -0.2045931E-07 -0.1674524E-07 -0.4155667E-03 -0.5065800E-03 -0.1960553E-06  0.0000000E+00
         1     6     30  0.8974867E-05  0.7346033E-05  0.0000000E+00  0.0000000E+00  0.5726902E-04  0.1000000E-03

         1     7      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     7      1 -0.2579551E-02 -0.5336866E-03  0.0000000E+00  0.0000000E+00  0.1362456E-03  0.0000000E+00
         1     7      2 -0.2264718E-07 -0.1674524E-07  0.4817545E-03  0.5065800E-03 -0.2054922E-06  0.0000000E+00
